Episode 089/1000 | Score:   1 | Reward: -25.1 | Epsilon: 0.64010937 | Steps: 253
Episode 090/1000 | Score:   0 | Reward: -20.4 | Epsilon: 0.63690883 | Steps: 105
Episode 091/1000 | Score:   0 | Reward: -15.8 | Epsilon: 0.63372428 | Steps:  59
Episode 092/1000 | Score:   0 | Reward: -16.1 | Epsilon: 0.63055566 | Steps:  62
Episode 093/1000 | Score:   0 | Reward: -18.7 | Epsilon: 0.62740288 | Steps:  88
Episode 094/1000 | Score:   0 | Reward: -23.1 | Epsilon: 0.62426587 | Steps: 132
Episode 095/1000 | Score:   0 | Reward: -19.0 | Epsilon: 0.62114454 | Steps:  91
Episode 096/1000 | Score:   0 | Reward: -24.6 | Epsilon: 0.61803882 | Steps: 147
Episode 097/1000 | Score:   1 | Reward: -18.6 | Epsilon: 0.61494862 | Steps: 188
Episode 098/1000 | Score:   2 | Reward: -0.3 | Epsilon: 0.61187388 | Steps: 106
Episode 099/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.60881451 | Steps: 201
Episode 100/1000 | Score:   0 | Reward: -27.6 | Epsilon: 0.60577044 | Steps: 177
Episode 101/1000 | Score:   0 | Reward: -23.1 | Epsilon: 0.60274158 | Steps: 132
Episode 102/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.59972788 | Steps: 201
Episode 103/1000 | Score:   0 | Reward: -14.4 | Epsilon: 0.59672924 | Steps:  45
Episode 104/1000 | Score:   0 | Reward: -22.7 | Epsilon: 0.59374559 | Steps: 128
Episode 105/1000 | Score:   1 | Reward: -4.8 | Epsilon: 0.59077686 | Steps:  50
Episode 106/1000 | Score:   0 | Reward: -21.4 | Epsilon: 0.58782298 | Steps: 115
Episode 107/1000 | Score:   0 | Reward: -17.2 | Epsilon: 0.58488386 | Steps:  73
Episode 108/1000 | Score:   0 | Reward: -24.7 | Epsilon: 0.58195944 | Steps: 148
Episode 109/1000 | Score:   0 | Reward: -29.2 | Epsilon: 0.57904965 | Steps: 193
Episode 110/1000 | Score:   0 | Reward: -18.4 | Epsilon: 0.57615440 | Steps:  85
Episode 111/1000 | Score:   0 | Reward: -22.1 | Epsilon: 0.57327363 | Steps: 122
Episode 112/1000 | Score:   0 | Reward: -28.0 | Epsilon: 0.57040726 | Steps: 181
Episode 113/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.56755522 | Steps: 201
Episode 114/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.56471745 | Steps: 201
Episode 115/1000 | Score:   0 | Reward: -26.1 | Epsilon: 0.56189386 | Steps: 162
Episode 116/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.55908439 | Steps: 201
Episode 117/1000 | Score:   1 | Reward: -19.2 | Epsilon: 0.55628897 | Steps: 194
Episode 118/1000 | Score:   1 | Reward: -7.7 | Epsilon: 0.55350752 | Steps:  79
Episode 119/1000 | Score:   1 | Reward: -8.7 | Epsilon: 0.55073999 | Steps:  89
Episode 120/1000 | Score:   0 | Reward: -22.8 | Epsilon: 0.54798629 | Steps: 129
Episode 121/1000 | Score:   0 | Reward: -20.8 | Epsilon: 0.54524635 | Steps: 109
Episode 122/1000 | Score:   1 | Reward: -13.8 | Epsilon: 0.54252012 | Steps: 140
Episode 123/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.53980752 | Steps: 201
Episode 124/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.53710848 | Steps: 201
Episode 125/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.53442294 | Steps: 201
Episode 126/1000 | Score:   0 | Reward: -29.1 | Epsilon: 0.53175083 | Steps: 192
Episode 127/1000 | Score:   1 | Reward: -16.2 | Epsilon: 0.52909207 | Steps: 164
Episode 128/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.52644661 | Steps: 201
Episode 129/1000 | Score:   1 | Reward: -23.6 | Epsilon: 0.52381438 | Steps: 238
Episode 130/1000 | Score:   2 | Reward: -24.1 | Epsilon: 0.52119531 | Steps: 344
Episode 131/1000 | Score:   0 | Reward: -19.9 | Epsilon: 0.51858933 | Steps: 100
Episode 132/1000 | Score:   0 | Reward: -18.8 | Epsilon: 0.51599638 | Steps:  89
Episode 133/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.51341640 | Steps: 201
Episode 134/1000 | Score:   0 | Reward: -22.0 | Epsilon: 0.51084932 | Steps: 121
Episode 135/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.50829507 | Steps: 201
Episode 136/1000 | Score:   1 | Reward: -4.8 | Epsilon: 0.50575360 | Steps:  50
Episode 137/1000 | Score:   1 | Reward: -12.7 | Epsilon: 0.50322483 | Steps: 129
Episode 138/1000 | Score:   0 | Reward: -16.9 | Epsilon: 0.50070871 | Steps:  70
Episode 139/1000 | Score:   0 | Reward: -25.4 | Epsilon: 0.49820516 | Steps: 155
Episode 140/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.49571414 | Steps: 201
Episode 141/1000 | Score:   0 | Reward: -19.2 | Epsilon: 0.49323557 | Steps:  93
Episode 142/1000 | Score:   0 | Reward: -24.1 | Epsilon: 0.49076939 | Steps: 142
Episode 143/1000 | Score:   1 | Reward: -23.2 | Epsilon: 0.48831554 | Steps: 234
Episode 144/1000 | Score:   2 | Reward: -23.2 | Epsilon: 0.48587396 | Steps: 335
Episode 145/1000 | Score:   0 | Reward: -14.3 | Epsilon: 0.48344459 | Steps:  44
Episode 146/1000 | Score:   0 | Reward: -13.9 | Epsilon: 0.48102737 | Steps:  40
Episode 147/1000 | Score:   2 | Reward: -24.7 | Epsilon: 0.47862223 | Steps: 350
Episode 148/1000 | Score:   2 | Reward: -17.0 | Epsilon: 0.47622912 | Steps: 273
Episode 149/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.47384798 | Steps: 201
Episode 150/1000 | Score:   0 | Reward: -21.8 | Epsilon: 0.47147874 | Steps: 119
Episode 151/1000 | Score:   0 | Reward: -16.6 | Epsilon: 0.46912134 | Steps:  67
Episode 152/1000 | Score:   3 | Reward: 1.9 | Epsilon: 0.46677574 | Steps: 185
Episode 153/1000 | Score:   0 | Reward: -24.1 | Epsilon: 0.46444186 | Steps: 142
Episode 154/1000 | Score:   1 | Reward: -9.7 | Epsilon: 0.46211965 | Steps:  99
Episode 155/1000 | Score:   0 | Reward: -12.6 | Epsilon: 0.45980905 | Steps:  27
Episode 156/1000 | Score:   1 | Reward: -23.6 | Epsilon: 0.45751001 | Steps: 238
Episode 157/1000 | Score:   0 | Reward: -16.3 | Epsilon: 0.45522246 | Steps:  64
Episode 158/1000 | Score:   0 | Reward: -25.3 | Epsilon: 0.45294634 | Steps: 154
Episode 159/1000 | Score:   0 | Reward: -18.7 | Epsilon: 0.45068161 | Steps:  88
Episode 160/1000 | Score:   0 | Reward: -18.3 | Epsilon: 0.44842820 | Steps:  84
Episode 161/1000 | Score:   0 | Reward: -14.9 | Epsilon: 0.44618606 | Steps:  50
Episode 162/1000 | Score:   0 | Reward: -17.9 | Epsilon: 0.44395513 | Steps:  80
Episode 163/1000 | Score:   1 | Reward: -12.9 | Epsilon: 0.44173536 | Steps: 131
Episode 164/1000 | Score:   0 | Reward: -17.9 | Epsilon: 0.43952668 | Steps:  80
